word,partOfSpeech,gloss
gumet,n,chin
guttuk,n,low or pot hole
gure,n,raven
gub,n,chicken house
guppi,n,seed that is not planted
gambalang,n,mud lid to cover granary
gambur,n,partitions for store
fisel,n,way/road/path
filya,n,tear
fut,v, put together
futtu,v,bring you together for good or for bad
futta,v,join together
futhun,v,(pl m/f) join together
futtut,v,join for good or for fight/anger/measles
futnin,v,join for good or fight
futkan,v,join for good or fight
futtush,v,join you for good or fight
futsa,v,join you for good or fight
futsut,v,join for good or fight
futshush,v,join for good or fight
fisha,n,ground
fisellal,n,roads/paths
fit,n,up/heaven
fivyor,v,blow/blowing
fo,n, mouth
fof,n,breast
foidee,n,son of father
foinaa,n,son of mother
foimahom,n,door/entrance
foimwen,adj,at the morning dawn
for,v,kill
forrus,v,he kills him/them
forrut,v,he kills her
forrun,v,he kills me
fornin,v,he kills us
forkan,v,he kills us
folok,n,lungs/bread
gongun,v,hunt me
gongsa,v,hunt you
gongus,v,hunt him
gongsus,v,hunt him/them
gongsut,v,hunt her
gongnin,v,hunt us
gongut,v,hunt her
gongshush,v,hunt you
gongkan,v,hunt us
gor,n,unmarried old single (m)
gigyal,v,tikling
gandurum,n,a type of stocks from the hills for cooking fuel
gyok,adj,expectantly
gerek,adj,expert on
gwyak,v,tear/torn
gwel,v,desire/like
gwella,v,desired you
gwellun,v,desired me
gwellu,v,desired you
gwelnin,v,desired us
gwellush,v,desired her
gwelkan,v,desired us
gwellut,v,desired her
gwelsa,v,desired you
gwelsut,v,desired her
gwelsus,v,desired him
gwot,n,celebration
gandiring,n,daking
gyolok,n,gluttal
gyolosh,adj,ganished
gunung,v,chaining/tying
gipfo,v,turn down
gille',adv,expression of
gamma,n,tent for horses
gan,v,to rest down
gang,n,wall plate/drum
gashashash,adj,strong meeting for contest
gaɓash,adj,strong opposition meeting
gandarang,adj,together everywhere
gaya',n,axe
gayamba,n,bulrush millet
gemhai,n,hat/cap
gacet,n,squirell
gwan,n,table
gwol,n,agama lizard
garash,n,short male lizard
gwashal,n,scrotum/testis
gambiya,n,a kind of oil from
giling,adj,three quarter quantity not completely full
giring,n,gehenna or rubbish heap
gundung,n,lame
gumle,n,soot/concerntrated smoke
gusho,n,husk of acca
gocorok,n,rocky
gocok,n,falling tree that children turns it for fun
gong,v,hunt
gonga,v,hunt you (m)
gongu,v,you hunt (pl m/f)
,n, a type of grasshopper sp.
gbwong,n,sticky
gbwongolong,adj,red person/sweep all
gbuksul,adj,plumpy
ha',v,take
ha'a,v,you take
ha'u,v,take you
ha'un,v,take me
ha'ut,v,take her
ha'nin,v,take us
ha'kan,v,take us
ha'ush,v,take you (f)
ha'sa,v,take you (m)
ha'sut,v,take her
ha'fit,v,lift up
ha'ya,v,remove/take away
hure,n,ten
huhwi,n,bicycle
hun,adv,you (pl)
hanggau,n,fever vomit
hangga',v,greed
han,n,flour
gicik,v,violence shaking
gyorop,v,daking for upstair
gushe,n,fish
gbya,v,uproot
gbaf,v,mockery/wicked (ness)
gbuf,v,barking of dog
gbum,adj,exactly
gbyar,v,descriptive term for turning apart
gbaram,v,reactive mood in anger
gbo,adj,instance breaking
gbuk,v,effort
gbak,v,silent
gbyau,adj, steadily looking
gbya',n,useless
gbwengjeng,n,tidely/strong
gbwing,v,pay no attention/ silience
haisun,n,my head
haisut,n,her head
haisinin,n,our head
haisikan,n,our head
haiminin,n,our head
haimesh,n,your head (f)
haihong,n,clan in Alis i Ron
haram,n,crocodile
ham,n,water
ham i shala',n,green
haarran,v,he use to parking
haar,n,pregnancy/collect/ gossip
ham kwar,n,spring water
ham i ri',n,blue
ham i wan,n,honey
ham i worong,n,ink
ham,n,tall grass/hewed
haar,n,pregnancy/collect
hyaran,v,use to put one on top of another
hwem,n,hunger
hwer,adv,ancient time
hwarat,v,grind on each other
hwen,n,street
